movie_id,imdb_id,tmdb_id,rating,average_rating,title
7153,0167260,122,4.5,4.10136,The Lord of the Rings: The Return of the King (2003)
7327,0060827,797,2.5,4.10658,Persona (1966)
7361,0338013,38,3.5,4.07414,Eternal Sunshine of the Spotless Mind (2004)
7387,0077402,923,1.0,3.78711,Dawn of the Dead (1978)
7419,0088680,10843,3.5,3.84159,After Hours (1985)
7438,0378194,393,4.5,3.82153,Kill Bill: Vol. 2 (2004)
7444,0337563,10096,1.0,3.09819,13 Going on 30 (2004)
7564,0058279,30959,1.5,3.8439,Kwaidan (1964)
7574,0113725,18872,3.0,3.6701,Maborosi (1995)
7713,0034587,25508,3.5,3.48511,Cat People (1942)
7802,0080120,11474,2.5,3.71998,The Warriors (1979)
7982,0365376,4552,4.0,3.61826,A Tale of Two Sisters (2003)
8014,0374546,113,3.5,3.99979,"Spring, Summer, Fall, Winter... and Spring (2003)"
8042,0070379,203,2.5,3.82132,Mean Streets (1973)
8157,0193253,823,3.5,3.68835,Jin-Roh: The Wolf Brigade (1999)
8261,0075612,41662,3.5,3.83371,3 Women (1977)
8327,0330229,870,2.5,3.82696,Dolls (2002)
8360,0298148,809,3.0,3.48034,Shrek 2 (2004)
8368,0304141,673,4.0,3.80952,Harry Potter and the Prisoner of Azkaban (2004)
8506,0289944,37696,3.0,2.84416,Fear X (2003)
8507,0022913,136,3.0,3.76504,Freaks (1932)
8665,0372183,2502,3.5,3.85702,The Bourne Supremacy (2004)
8798,0369339,1538,3.0,3.68407,Collateral (2004)
8950,0361862,4553,4.0,3.81343,The Machinist (2004)
8957,0387564,176,3.0,3.32356,Saw (2004)
8961,0317705,9806,2.0,3.85674,The Incredibles (2004)
8983,0385004,9550,2.5,3.72484,House of Flying Daggers (2004)
26122,0058430,3763,2.5,3.82099,Onibaba (1964)
26241,0066993,31767,3.5,3.67949,The Devils (1971)
26393,0076740,38985,3.5,3.75576,Sorcerer (1977)
26776,0104652,11621,3.5,3.93323,Porco Rosso (1992)
26840,0108188,7500,3.0,3.80982,Sonatine (1993)
26947,0117407,2061,3.5,3.71377,Pusher (1996)
27087,0154683,50173,1.5,3.0,Jigoku (1960)
27109,0158714,2487,3.0,3.59132,Lady Snowblood (1973)
27317,0235198,11075,4.0,3.6088,Audition (2000)
27328,0239655,36246,3.5,3.77778,Monday (2000)
27478,0284837,9298,3.5,3.01157,Ali G Indahouse (2002)
27491,0286751,27324,2.5,3.2509,Pulse (2001)
27523,0293715,11178,3.0,3.77132,My Sassy Girl (2001)
27592,0310775,4689,3.5,3.80572,Sympathy for Mr. Vengeance (2002)
27604,0312843,12720,2.5,3.36077,Suicide Club (2001)
27773,0364569,670,4.5,4.0748,Oldboy (2003)
27831,0375912,4836,3.5,3.75345,Layer Cake (2004)
30745,0361668,12487,2.0,3.60656,Gozu (2003)
31364,0353969,11423,3.0,4.01001,Memories of Murder (2003)
31410,0363163,613,3.5,3.99067,Downfall (2004)
31658,0347149,4935,3.5,4.08667,Howl's Moving Castle (2004)
32250,0330904,33431,3.0,2.98387,A Snake of June (2002)
32587,0401792,187,4.0,3.78379,Sin City (2005)
33171,0370986,11171,3.5,3.80049,Mysterious Skin (2004)
33493,0121766,1895,3.0,3.39245,Star Wars: Episode III - Revenge of the Sith (2005)
33683,0338095,10226,3.5,3.33887,High Tension (2003)
33794,0372784,272,4.0,3.93356,Batman Begins (2005)
34811,0396184,11328,2.5,3.70352,Pusher II: With Blood on My Hands (2004)
37382,0421054,9923,3.5,3.01264,Domino (2005)
39183,0388795,142,3.5,3.59895,Brokeback Mountain (2005)
40732,0435625,9392,3.5,3.48726,The Descent (2005)
40815,0330373,674,4.0,3.77204,Harry Potter and the Goblet of Fire (2005)
